Instruction,Response
Måste man äta direkt efter träningen (det anaboliska fönstret)?,Det där 'anaboliska fönstret' är mest en myt! Du behöver inte kasta i dig en proteinshake i omklädningsrummet. Så länge du äter en bra måltid inom några timmar efter passet är kroppen nöjd.
Vad är skillnaden på bulk och deff?,Att 'bulka' betyder att du äter mer kalorier än du gör av med för att bygga muskler (och lite fett). Att 'deffa' är tvärtom: du äter mindre för att tappa fett och göra musklerna mer synliga.
Kan man bygga muskler på en vegansk kost?,"Absolut! Du måste bara ha lite extra koll på att du får i dig protein från olika växtkällor (som soja, linser och bönor) och se till att du får i dig B12-vitamin."
Vad är EAA och BCAA?,Det är aminosyror (byggstenarna i protein). Om du äter tillräckligt med vanligt protein får du redan i dig detta. Att köpa dyra BCAA-drycker är oftast helt onödigt om du äter bra mat.
Ska jag skippa kolhydrater om jag vill deffa?,"Nej, kolhydrater är din hjärnas och dina musklers främsta bränsle! Utan kolisar kommer du känna dig svag på gymmet. Ät bra kolhydrater som ris, potatis och havre i stället för godis."
Varför är sömn så viktigt för träning?,"På gymmet bryter du ner musklerna, i sängen bygger du upp dem. Under djupsömnen frigörs tillväxthormoner. Sover du för lite (mindre än 7-8 timmar) får du sämre resultat och ökad skaderisk."
Förstör alkohol mina gains?,"Ja, faktiskt. Alkohol stressar kroppen, sänker testosteronet, gör att du sover sämre och bromsar muskeluppbyggnaden markant dagarna efter festen."
Kan man träna om man är förkyld?,"Har du ont i halsen, feber eller känner dig sjuk i hela kroppen: VILA! Tränar du då kan det bli farligt för hjärtat (hjärtmuskelinflammation). Har du bara lite snuva kan du köra ett lugnt pass."
Vad är aktiv vila?,"Det är när du vilar från ditt vanliga hårda gympass men ändå rör på dig, till exempel en promenad, lätt cykling eller yoga. Det ökar blodcirkulationen och kan lindra träningsvärk."
Hjälper isbad för återhämtning?,"Isbad dämpar inflammation och kan kännas skönt, vilket är bra om du har en tävling nästa dag. Men om målet är att bygga muskler på gymmet kan frekventa isbad faktiskt bromsa muskeltillväxten."
Vad gör jag åt min gymångest (gymtimidation)?,"Kom ihåg: 99% av alla på gymmet fokuserar bara på sig själva och sin egen spegelbild. Börja med att gå dit när det är lite folk, ha en färdig plan i mobilen och lyssna på din favoritmusik i lurarna."
"Jag har tappat motivationen, vad ska jag göra?",Motivation kommer och går. Lita på disciplin i stället! Sänk kraven: bestäm dig för att bara åka till gymmet i 15 minuter. Oftast blir det ett helt pass när du väl är där.
Hur undviker man att jämföra sig med fitness-influencers på TikTok?,"Kom ihåg att TikTok är en höjdpunkt-rulle. Du ser bra ljus, pump, filter och ibland dopning. Fokusera på din egen utveckling! Att bli 1% bättre än dig själv igår är det enda som betyder något."
Måste man vara svettig och helt slut efter ett pass för att det ska ge något?,"Nej! Ett tungt styrkepass kan bygga massor av muskler utan att du flåsar eller svettas floder. Svett är kroppens sätt att kyla ner sig, det är inget mått på ett bra träningspass."
Vad är överträning?,"När du tränar så mycket att kroppen aldrig hinner återhämta sig. Du blir konstant trött, tappar styrka, sover dåligt och blir lättare sjuk. Lösningen? En hel vilovecka!"
Kan tjejer bli 'för biffiga' om de lyfter tungt?,"En av de vanligaste myterna! Kvinnor har mycket mindre testosteron än män och bygger muskler långsammare. Att lyfta tungt ger dig bara en stark, formad och hälsosam kropp – du vaknar inte upp som Hulken."
Kan jag punktförbränna fett på magen med situps?,"Tyvärr inte! Du kan bygga magmuskler med situps, men var kroppen tappar fett ifrån styrs helt av genetik, inte av vilken muskel du tränar. Du måste ligga på ett kaloriunderskott för att tappa fett över hela kroppen."
Stannar växten om man tränar tungt när man är tonåring?,"Nej, det är en gammal myt. Tvärtom visar forskning att styrketräning stärker skelettet. Så länge du äter ordentligt och har bra teknik är det jättebra för tonåringar att lyfta vikter."
Måste man ha träningsvärk för att veta att passet var bra?,Nej. Träningsvärk betyder oftast bara att du gjort en ny övning som kroppen inte är van vid. Dina muskler kan växa och bli starkare även om du inte har ont dagen efter.
Bygger man muskler snabbare om man lyfter extremt sakta?,"Kontroll är bra (exempelvis långsamt på vägen ner), men du behöver inte lyfta i snigelfart. Att lyfta explosivt på vägen upp engagerar faktiskt de starkaste muskelfibrerna bättre!"
Gör cardio att jag tappar mina muskler?,"Många killar tror detta ('cardio kills gains'). Det stämmer inte om du håller konditionspassen på rimliga nivåer och äter bra. Hjärtat är en muskel, glöm inte att träna den också!"
Är fett farligt att äta?,"Absolut inte, det är livsviktigt! Fett behövs för din hjärna, dina celler och för att din kropp ska kunna producera hormoner (som testosteron och östrogen). Välj bra fetter från nötter, avokado och lax."
Är det fusk att lyfta i en Smith-maskin?,Verkligen inte. Smith-maskinen är ett superbra verktyg. Eftersom du slipper fokusera på balans kan du ibland trycka muskeln ännu hårdare (närmare failure) på ett säkert sätt.
Kan man bygga muskler och bränna fett samtidigt?,"Det kallas för 'body recomposition'. Det är möjligt, särskilt för nybörjare eller om man har lite extra kroppsfett. Men det är svårt och kräver hög proteinintag och ett perfekt kaloriunderskott."
"TikTok säger att jag måste 'tucka bäckenet' i knäböj, stämmer det?","Var försiktig med träningstips på TikTok. Att tvinga fram konstiga vinklar (som butt-wink) kan skada ländryggen. Håll en neutral, naturlig rygg och ta hjälp av någon på gymmet om du är osäker."
Vad är bäst: Långpromenad eller löpintervaller?,Beror på ditt mål! Långpromenader är skonsamt och bränner bra med kalorier över tid utan att stressa kroppen. Intervaller (HIIT) ger snabbt bättre kondition och hjärthälsa men kräver mer återhämtning.
Måste jag gå 10 000 steg om dagen?,"10 000 steg var ursprungligen en japansk marknadsföringskampanj för stegräknare, inte vetenskap. Men forskning visar att 7000–8000 steg ger gigantiska hälsofördelar. All rörelse är bra!"
Vad är maxpuls?,"Maxpuls är det högsta antalet slag ditt hjärta kan slå på en minut. En grov uträkning är 220 minus din ålder (t.ex. 220-17=203 slag/minut), men det är högst individuellt."
När på dagen är det bäst att träna?,"Det absolut bästa passet är det som faktiskt blir av! Rent fysiologiskt är många som starkast på sen eftermiddag, men om morgonträning passar ditt skolschema bäst – kör på det."
Hur många kalorier förbränner styrketräning?,"Styrketräning bränner faktiskt inte så mycket under själva passet (kanske 200-300 kcal). Den stora fördelen är att muskler bränner mer energi dygnet runt, även när du sover i din säng!"
Vad är VO2-max?,Det är ett mått på hur mycket syre din kropp max kan ta upp och använda när du tränar stenhårt. Det är den bästa mätaren på hur bra kondition du har.
Hjälper bastu efter träning?,"Bastu (sauna) är fantastiskt! Det ökar blodcirkulationen vilket kan hjälpa trötta muskler att slappna av, och det frigör endorfiner som gör dig glad och avslappnad."
"Jag har kontorsnacke av allt plugg och mobilskrollande, vad kan jag göra?","Träna bröstrygg och baksida axlar (t.ex. face pulls och rodd). Stretcha bröstmusklerna som ofta blir korta när vi hukar över skärmar, och försök ha mobilen i ögonhöjd."
Hur vet jag om jag dricker tillräckligt med vatten?,"Kolla färgen på kisset! Är det ljust och nästan genomskinligt dricker du bra. Är det mörkgult behöver du dricka mer. Sikta på ca 2-3 liter per dag, extra om du tränar och svettas."
Måste man vara vig för att börja styrketräna?,"Nej, gym är för alla. Faktum är att styrketräning med fullt rörelseutgång (att du går hela vägen ner i en knäböj) faktiskt förbättrar din rörlighet enormt!"
Vilka oskrivna regler finns på gymmet?,1. Plocka alltid undan dina vikter! 2. Torka av bänken om du svettas. 3. Svara alltid trevligt om nån frågar hur många set du har kvar. 4. Stå inte framför hantelstället och kör.
Är det okej att sitta med mobilen på maskinerna?,"Att vila mellan seten (och byta låt) är helt okej. Men om du sitter och skrollar TikTok i fem minuter medan andra väntar på maskinen, då bryter du mot gymetiketten."
Vad gör jag om nån tittar på mig på gymmet?,"Oftast stirrar folk bara rakt ut i luften för att de är trötta, eller så beundrar de din teknik. Om det känns obehagligt, sätt i hörlurarna, sänk kepsen och fokusera på ditt. Du äger din plats där!"
Kan jag köra biceps och mage varje dag?,"Muskler behöver vila för att växa. Mage och biceps tål ofta lite mer stryk, men kör du dem exakt varje dag hinner de aldrig återhämta sig. 2-3 gånger i veckan räcker!"
Vad är marklyft (deadlift) bra för?,"Marklyft kallas kungen av övningar av en anledning! Det är en basövning som bygger styrka i hela kroppens baksida: rygg, glutes (rumpa), baksida lår och ditt grepp."
Behöver tjejer träna bröstmuskler?,"Ja! Att träna bröst ger starkare pressmuskler vilket hjälper i andra övningar, och det kan förbättra din hållning. Muskler är till för att användas, oavsett vem du är."
Är löpbandet eller cykeln bäst som uppvärmning?,Båda funkar utmärkt för att få upp värmen i 5-10 minuter. Vill du vara optimal gör du sen några lätta övningar med gummiband som liknar det du ska lyfta (exempelvis lätta benböj innan tunga).
Vad är dropset för något?,"Det är en teknik för att pumpa ur muskeln totalt. Du kör din övning tills du inte orkar mer, sänker vikten lite direkt utan att vila, och kör några reps till. Svider ordentligt!"
Finns det någon åldersgräns på att styrketräna?,"Fysiologiskt nej, barn kan göra kroppsviktsövningar. Men de flesta gym i Sverige har en åldersgräns på 15 eller 16 år för att man ska kunna köra själv utan förälder av säkerhetsskäl."
Är godis farligt efter träning?,Kroppen bryr sig mest om protein och energi. Lite snabba kolhydrater (som godis) efter ett hårt pass går faktiskt rakt in i musklerna som energi! Så lite godis skadar absolut inte dina gains.
Vad är träningsvolym?,Det är totalen av det du lyft under passet. Det räknas ut som: set x repetitioner x vikt. Vill du bygga muskler bör volymen sakta öka över tid (progressiv överbelastning).
Vad är progressiv överbelastning?,Hemligheten bakom alla muskler! Det betyder att du gradvis måste göra träningen tyngre för att kroppen ska fortsätta utvecklas. T.ex. lägga på 1 kg mer eller göra en rep till jämfört med förra veckan.
Kan jag träna samma muskel om jag har träningsvärk i den?,"Om träningsvärken är mild är det oftast okej, det kan till och med kännas bättre när du blir varm. Men om muskeln gör så ont att tekniken blir fel, låt den vila en dag till."
Ska man dricka sportdryck under gympasset?,"Om du kör ett vanligt gympass på 1 timme räcker vatten perfekt. Sportdryck behövs mest om du springer långdistans, spelar fotboll i flera timmar eller tränar elitidrott där du svettas enormt."
Hjälper knäskydd (knee sleeves)?,"Knäskydd ger värme och lite kompression vilket gör att knäna känns stabilare under tunga benböj. Det skyddar inte mot alla skador, men det är jätteskönt och bra för att hålla lederna varma."
Vad är 'mind-muscle connection'?,Det är att verkligen *tänka* på muskeln du ska använda när du tränar. Att till exempel tänka på att dra ihop ryggen i latsdrag istället för att bara slita ner stången. Det ger faktiskt bevisat bättre kontakt!
Hur viktigt är det med 'cheat days' (ätardagar)?,"Det är ofta bättre att äta gott i lagom mängd varje dag, istället för att svälta sig i veckan och sen hetsäta lördagsgodis (vilket skapar en ohälsosam relation till mat). Allt handlar om balans."
Får man kortare muskler av att gymma?,"Nej, om du utför övningarna hela vägen (full ROM = range of motion). Faktum är att djupa knäböj och raka marklyft fungerar precis som dynamisk stretching och gör dig rörligare."
Vad är en 'spotter' på gymmet?,En kompis eller person på gymmet som står bakom dig (oftast vid bänkpress eller knäböj) för att hjälpa till att få upp vikten om du fastnar. Det är alltid helt okej att fråga en främling om de kan spotta dig!
Vad är calisthenics?,"Det är styrketräning med bara kroppsvikt som motstånd. Pull-ups, armhävningar, muscle-ups och human flags. Det bygger grym styrka och kroppskontroll utan vikter!"
