Instruction,Response
Är PS5 eller Xbox Series X bäst?,De är extremt lika rent prestandamässigt! Valet handlar mest om vilka spel du gillar (Spider-Man och The Last of Us finns bara på PlayStation) och var dina kompisar spelar. Xbox Game Pass är dock en galet prisvärd prenumeration.
Bör jag köpa en PC eller en konsol?,"Konsol är billigare, enklare (bara plug and play) och perfekt för soffan. En PC är dyrare, men ger dig oändligt mycket fler spel (inklusive moddar), oslagbar grafik och fps, plus att du kan använda den till skolarbete och programmering."
Hur funkar ray tracing?,"Vanliga spel fusk-målar ljus och skuggor. Ray tracing använder din GPU för att fysiskt simulera hur ljusstrålar studsar i realtid. Resultatet blir sjukt realistiska pölar, fönster och skuggor, men det sänker tyvärr din FPS rejält."
Vad är DLSS och varför pratar alla om det?,"DLSS är Nvidias AI-magi! Spelet ritas upp i en lägre, fulare upplösning (för att spara FPS), sedan använder grafikkortet AI för att förstora bilden så att den ser kristallklar ut. Du får alltså hög upplösning och hög FPS samtidigt."
Hur tränar AI i tv-spel?,"I spelutveckling använder man maskininlärning för att lära NPC-fiender att fatta smartare beslut, eller 'reinforcement learning' där AI-bottar spelar spelet tusentals gånger mot sig själva för att lista ut de bästa strategierna (som i schack eller Dota)."
Kommer AI att bygga framtidens spel?,"Till viss del, ja! Utvecklare använder redan AI för att generera röstskådespeleri, skapa texturer, skriva dialoger och fylla öppna världar. Det är ett grymt verktyg som gör att spelskapare kan spara tid och bygga mycket större världar."
Vad innebär mekaniskt tangentbord?,"Ett mekaniskt tangentbord har en separat, fysisk brytare under varje tangent, istället för en gummimatta. Det ger en mycket snabbare respons och ett skönt klick-ljud (men det kan störa folk runt dig om du köper blåa, högljudda brytare!)."
Är trådlösa möss dåliga för gaming?,"För tio år sen: ja. Idag: nej! Moderna trådlösa gamingmöss (som Logitech Superlight eller Razer Viper) har exakt samma, eller till och med lägre, fördröjning (latency) som möss med sladd. Många e-sportsproffs kör trådlöst."
Hur undviker man att bli tiltad?,"Att bli 'tiltad' (arg och spela sämre) är en ond cirkel. Pausa spelet. Drick ett glas vatten. Inse att du inte kan styra dina medspelare, bara din egen insats. Gå en kort promenad om du känner att hjärnan kokar."
Varför sover jag dåligt när jag spelat sent?,"Ljuset från skärmen (särskilt blått ljus) lurar hjärnan att tro att det är mitt på dagen, så du slutar producera sömnhormonet melatonin. Dessutom är hjärnan uppe i varv av allt adrenalin från spelet. Stäng av en timme innan läggdags!"
Vad är skillnaden på SSD och HDD?,En HDD är en gammal mekanisk hårddisk med en snurrande skiva – billig men superlångsam. En SSD är ett flashminne (helt utan rörliga delar) som är blixtsnabbt. Du bör alltid ha dina spel på en SSD för att undvika långa laddningstider.
Vad är en 'bottleneck' i datorn?,"En 'flaskhals' uppstår när en komponent är mycket sämre än en annan. Om du parar ett supermodernt RTX 4080-grafikkort med en tio år gammal CPU, hinner CPU:n inte förse grafikkortet med data tillräckligt snabbt, och du förlorar massa FPS."
Behöver jag 16GB eller 32GB RAM?,"16GB RAM är minimum idag och räcker bra för att spela. Men ska du spela de tyngsta spelen, ha Discord, Spotify och 20 Chrome-flikar uppe samtidigt, eller börja streama? Då är 32GB starkt att rekommendera."
Är det okej att fula sig på Discord?,"Grov jargong med kompisar kan vara kul, men kom ihåg att text och ljud sparas. Att sitta och skrika slurs eller hacka på någon som är ny är aldrig okej. Håll communityn trevlig!"
Hur börjar man streama på Twitch?,"Ladda ner OBS Studio (gratis!), fixa en hyfsad mikrofon och se till att internetuppkopplingen har bra uppladdningshastighet. Det viktigaste är inte att ha bäst bild, utan att prata kontinuerligt, ha kul och visa din personlighet."
Vad är 'backseat gaming'?,När någon tittar på när du spelar (antingen fysiskt eller i en stream) och hela tiden ger oombedda tips och talar om för dig vad du ska göra. Sjukt irriterande för den som försöker njuta av spelet!
Kan spel förbättra min engelska?,"Absolut! De flesta svenska ungdomar bygger en enorm engelsk vokabulär och lär sig prata obehindrat tack vare röstchatt, spelmenyer, YouTube-videos och story-spel."
Är VR (Virtual Reality) dött?,"Nej, det växer! Meta Quest 3 och PC-VR har enorma communities. Även om det inte ersatt vanliga skärmspel ännu, är det fantastiskt för inlevelsen, och man får faktiskt upp flåset när man spelar Beat Saber."
Vilket är det mest sålda spelet någonsin?,"Minecraft! Med över 300 miljoner sålda kopior är det ohotad etta, följt av GTA V. Det sjuka är att Minecraft bara fortsätter växa tack vare alla moddar och ständiga uppdateringar."
Vad är 'Gacha'-spel?,"Spel som Genshin Impact där du spenderar valuta (ofta riktiga pengar) för att 'dra' i en virtuell automat i hopp om att få sällsynta karaktärer eller vapen. Det bygger på samma psykologi som casinospel, så var försiktig med plånboken!"
Måste man vara svinbra på matte för att programmera spel?,"Inte i början! Att scripta grundläggande händelser i Unity eller Unreal Engine kräver mest logik och problemlösning. Men ska du bygga avancerad fysik (som hur vatten beter sig) eller 3D-kameror, då är mattekunskaper guld värt."
Vad är crossplay?,"När ett spel tillåter att du som sitter på en PC kan spela i samma match som din kompis som spelar på Xbox eller PlayStation. Något som nästan är standard idag, men för fem år sedan var väldigt sällsynt."
Varför hatar många SBMM (Skill-Based Matchmaking)?,Eftersom SBMM tvingar dig att alltid spela mot folk som är exakt lika bra som du. Många saknar de gamla 'casual'-tiderna i Call of Duty där matcherna var blandade och man inte behövde svettas i varenda runda för att vinna.
Kan jag skada min hörsel av gaming-headsets?,"Ja. Om du maxar volymen för att höra fiendens fotsteg perfekt, riskerar du tinnitus och permanenta hörselskador. Vänj dig vid lägre volym, öronen är mycket känsligare än du tror!"
Vad är 'esports-tvätt' (esports washing)?,"När länder med tveksamma mänskliga rättigheter investerar enorma summor (ofta miljarder) i att köpa e-sport-turneringar och lag, för att framstå som moderna och förbättra sitt rykte globalt."
Vad är 'smurfing'?,"När en riktigt duktig spelare (med hög rank) skapar ett helt nytt konto för att spela mot nybörjare i låg rank. Ofta för att boosta kompisar eller bara för att det är kul att krossa andra, vilket förstör spelet för motståndarna."
Varför byter många till 1440p-skärmar?,"1080p (Full HD) var standarden i 10 år, men 1440p (QHD) ger mycket skarpare bild utan att kräva ett NASA-grafikkort som 4K gör. Det är den perfekta mellanvägen för moderna speldatorer."
Vad är en IGL?,"In-Game Leader. Det är lagkaptenen och strategen i e-sportlag (t.ex. i CS2). Den personen analyserar motståndarna, bestämmer vilka taktiker laget ska köra varje runda och ropar ut order."
Hur ofta bör man städa sin PC?,Damma ur den med tryckluft på burk ungefär var 3:e till 6:e månad (aldrig med dammsugare!). Om fläktarna kloggar igen av damm blir datorn för varm och då sänker den automatiskt prestandan (kallas thermal throttling).
Ska jag använda musmatta?,"100%! Utan musmatta blir musens sensor förvirrad av bordets yta och du tappar all precision. En bra, stor musmatta ('deskmat') gör att musen glider jämnt och mjukt."
Vad är en 'easter egg' i spel?,"Ett dolt skämt, meddelande eller hemlig funktion som spelutvecklarna har gömt i koden. Det kan vara en bild på utvecklarna bakom en falsk vägg, eller en blinkning till en film."
Vilken roll har en 'support'?,"I spel som Overwatch eller League of Legends fokuserar en support på att hela, buffa och rädda sina lagkamrater. Utan bra supports förlorar du matcherna, även om dps-spelarna är grymma."
Hur många FPS kan det mänskliga ögat se?,"Det finns ingen exakt gräns! Det gamla ryktet om att 'ögat bara ser 24 fps' är falskt. E-sportare känner extremt tydlig skillnad på 60, 144 och 240 FPS eftersom bilden uppdateras snabbare och input-fördröjningen försvinner."
Ska jag stänga av datorn när jag inte spelar?,Att stänga av den helt (eller sätta i riktigt strömsparläge) när du går och lägger dig sparar på elräkningen och låter RAM-minnet rensas ut. Du behöver dock inte stänga av den för att du går och äter.
Kan man bli beroende av datorspel?,"Ja, 'Gaming Disorder' är numera en officiell diagnos. Om spelandet gör att du hoppar över skolan, slutar träffa kompisar IRL, struntar i att äta och dygnet vänds upp och ner, är det en röd flagga."
Vad gör jag om min kompis mår dåligt i spelet?,"Gaming är en flykt från verkligheten för många. Märker du att någon blir orimligt arg hela tiden eller låter jättedeppig på Discord, våga fråga hur de mår IRL. Ett 'Händer det mycket just nu eller?' kan göra stor skillnad."
Är mekaniska brytare bättre än optiska?,"Optiska brytare (som använder en ljusstråle i stället för metallkontakt) är rent tekniskt snabbare och håller längre, men mekaniska är fortfarande favoriten för många på grund av skrivkänslan och priset."
Vad är en VTuber?,"Virtual YouTuber. Det är en streamer (oftast på Twitch eller YouTube) som använder en animerad 2D- eller 3D-avatar som styrs av personens verkliga ansiktsrörelser via en webbkamera, i stället för att visa sitt riktiga ansikte."
Hur blir jag spelutvecklare?,"Ladda ner Unity eller Unreal Engine (båda är gratis!), kolla på nybörjarguider på YouTube och börja bygga små projekt, som en boll som rullar. Bygg sedan på med C# eller C++ programmering."
Vilket är det mest krävande spelet att köra?,Länge var svaret 'Can it run Crysis?'. Idag är spel som Cyberpunk 2077 (med 'Path Tracing' aktiverat) eller Alan Wake 2 några av de absolut tyngsta spelen som får även monsterdatorer att svettas.
Vad innebär 'TTK' inom gaming?,'TTK' betyder oftast Time to Kill. Ett mått på exakt hur snabbt ett vapen eller en förmåga eliminerar en motståndare i spelet. Låg TTK betyder att du dör supersnabbt!
Vad innebär 'DPS' inom gaming?,'DPS' betyder oftast Damage Per Second. Hur mycket skada ett vapen eller en karaktär i genomsnitt gör per sekund. Viktigt i MMOs!
Vad innebär 'AoE' inom gaming?,'AoE' betyder oftast Area of Effect. En attack eller magi som gör skada på en viss yta istället för på en enskild fiende (t.ex. en granat eller eldstorm).
Vad innebär 'RNG' inom gaming?,'RNG' betyder oftast Random Number Generation. Spelvärldens sätt att säga 'slump'. Om du hittar ett legendariskt vapen i en låda hade du bra RNG.
Vad innebär 'NPC' inom gaming?,'NPC' betyder oftast Non-Playable Character. Alla gubbar och karaktärer i ett spel som styrs av datorn och inte av riktiga spelare.
Vad innebär 'PvP' inom gaming?,'PvP' betyder oftast Player versus Player. När spelare möter och slåss mot andra riktiga spelare online.
Vad innebär 'PvE' inom gaming?,'PvE' betyder oftast Player versus Environment. När spelare samarbetar för att besegra datorstyrda fiender eller monster.
Vad innebär 'SBMM' inom gaming?,'SBMM' betyder oftast Skill-Based Matchmaking. Ett system som försöker para ihop dig med spelare som har exakt samma skicklighetsnivå som du.
Vad innebär 'MMR' inom gaming?,'MMR' betyder oftast Matchmaking Rating. Ett dolt siffervärde som spelet använder för att bedöma hur bra du är och hitta lämpliga motståndare.
Vad innebär 'ELO' inom gaming?,'ELO' betyder oftast Ett system lånat från schack för att ranka spelare i tävlingsinriktade spel som League of Legends eller CS.
Vad innebär 'Hitbox' inom gaming?,'Hitbox' betyder oftast De osynliga geometriska block runt en karaktär som spelet använder för att beräkna om ditt skott träffar eller inte.
Vad innebär 'FOV' inom gaming?,'FOV' betyder oftast Field of View (synfält). Ett värde (t.ex. 90 eller 110) som bestämmer hur mycket av spelvärlden du kan se på din skärm samtidigt. Högre FOV ger bättre periferiseende men drar mer prestanda.
Vad innebär 'HUD' inom gaming?,"'HUD' betyder oftast Heads-Up Display. Den information (som liv, ammo och karta) som ligger 'ovanpå' spelbilden så att du kan läsa av den snabbt."
Vad innebär 'UI' inom gaming?,"'UI' betyder oftast User Interface. Spelmenyerna, knapparna och designen för hur du interagerar med spelet."
Vad innebär 'K/D' inom gaming?,'K/D' betyder oftast Kill/Death ratio. Antal kills du fått delat på hur många gånger du dött. En K/D över 1.0 betyder att du dödar mer än du dör.
Vad innebär 'Smurf' inom gaming?,"'Smurf' betyder oftast En högrankad och extremt duktig spelare som gör ett nytt, lågrankat konto för att spela mot (och dominera) nybörjare."
Vad innebär 'Buff' inom gaming?,'Buff' betyder oftast När spelutvecklarna uppdaterar spelet för att göra en karaktär eller ett vapen starkare.
Vad innebär 'Nerf' inom gaming?,'Nerf' betyder oftast När spelutvecklarna försämrar ett vapen eller en karaktär eftersom det var alldeles för starkt innan.
Vad innebär 'Meta' inom gaming?,"'Meta' betyder oftast Most Effective Tactic Available. Den spelstil, det vapen eller den karaktär som anses vara absolut starkast och bäst att använda just nu."
Vad innebär 'OP' inom gaming?,'OP' betyder oftast Overpowered. Något som är alldeles för starkt och orättvist i spelet.
Vad innebär 'Ping' inom gaming?,'Ping' betyder oftast Den tid (i millisekunder) det tar för en datasignal att skickas från din dator till spelservern och tillbaka. Du vill ha så låg ping som möjligt!
Vad innebär 'Lag' inom gaming?,"'Lag' betyder oftast När din internetuppkoppling är seg (hög ping) eller din dator inte orkar med, vilket gör att spelet hackar eller 'hoppar' fram."
Vad innebär 'Packet Loss' inom gaming?,'Packet Loss' betyder oftast När data som skickas mellan din dator och servern försvinner på vägen. Resultatet är ofta att dina skott inte registreras alls.
Vad innebär 'Tickrate' inom gaming?,'Tickrate' betyder oftast Hur många gånger per sekund spelservern uppdaterar var alla spelare befinner sig. 128-tick (som Faceit i CS) är mjukare och mer exakt än 64-tick.
Vad innebär 'V-Sync' inom gaming?,'V-Sync' betyder oftast En inställning som tvingar grafikkortet att vänta på skärmens uppdatering för att förhindra att bilden 'slits isär' (tearing). Kan dock ge lite input lag.
Vad innebär 'Ray Tracing' inom gaming?,'Ray Tracing' betyder oftast En ljusteknik som simulerar hur fysiska ljusstrålar studsar och skapar realistiska reflektioner och mjuka skuggor.
Vad innebär 'DLSS' inom gaming?,'DLSS' betyder oftast Nvidias AI-teknik (Deep Learning Super Sampling) som ritar spelet i låg upplösning och AI-förstorar det. Du får supergrafik OCH hög FPS!
Vad innebär 'Anti-aliasing' inom gaming?,"'Anti-aliasing' betyder oftast Kantutjämning. En grafikinställning som tar bort de vassa, pixliga och hackiga kanterna på objekt i spel."
Vad innebär 'Screen Tearing' inom gaming?,"'Screen Tearing' betyder oftast När skärmen uppdaterar sig mitt i att grafikkortet skickar en ny bild, vilket gör att skärmen bokstavligen ser 'kluven' eller 'sliten' ut horisontellt."
Vad innebär 'Polling rate' inom gaming?,'Polling rate' betyder oftast Hur många gånger per sekund din mus eller ditt tangentbord rapporterar sin position till datorn. 1000 Hz betyder en uppdatering varje millisekund.
Vad innebär 'DPI' inom gaming?,"'DPI' betyder oftast Dots Per Inch. Hur känslig din datormus är. Om du drar musen 1 tum på musmattan vid 800 DPI, flyttas pekaren 800 pixlar på skärmen."
Vad innebär 'Mekaniskt tangentbord' inom gaming?,"'Mekaniskt tangentbord' betyder oftast Ett tangentbord där varje knapp har en egen fjädrande, fysisk brytare för skönare känsla och blixtsnabb respons."
Vad innebär 'Membrantangentbord' inom gaming?,"'Membrantangentbord' betyder oftast Ett tangentbord med en gummimatta under knapparna. Det är tystare och billigare, men saknar den krispiga känslan för gaming."
Vad innebär 'Bottleneck (flaskhals)' inom gaming?,'Bottleneck (flaskhals)' betyder oftast När en riktigt bra del i datorn hindras från att jobba snabbt på grund av en urusel gammal del (t.ex. ett RTX 4080 ihop med en 10 år gammal CPU).
Vad innebär 'SSD' inom gaming?,'SSD' betyder oftast Solid State Drive. Blixtsnabb lagring utan rörliga delar. Här ska du alltid installera ditt Windows och dina favoritspel för nolltid-laddningsskärmar.
Vad innebär 'HDD' inom gaming?,"'HDD' betyder oftast Hard Disk Drive. Gamla mekaniska hårddiskar med snurrande magnetskivor. Billiga och har mycket plats, men alldeles för sega för moderna spel."
Vad innebär 'CPU' inom gaming?,"'CPU' betyder oftast Central Processing Unit. Datorns 'hjärna' som räknar ut spelets fysik, NPC:ernas beteende och säger till grafikkortet vad det ska rita."
Vad innebär 'GPU' inom gaming?,'GPU' betyder oftast Graphics Processing Unit (Grafikkort). Datorns muskel som sköter all visuell rendering och pressar ut FPS till din skärm.
Vad innebär 'RAM' inom gaming?,'RAM' betyder oftast Random Access Memory. Datorns korttidsminne. Allt som händer *just nu* i spelet laddas här för blixtsnabb åtkomst. 16GB är standard idag!
Vad innebär 'Moderkort' inom gaming?,"'Moderkort' betyder oftast Den stora centrala plattan i datorn (Motherboard) där alla andra delar (CPU, RAM, GPU) kopplas in så de kan prata med varandra."
Vad innebär 'Nätagg (PSU)' inom gaming?,"'Nätagg (PSU)' betyder oftast Power Supply Unit. Lådan som ger ström till hela datorn. Snåla aldrig på denna, går den sönder kan den grilla hela datorn!"
Vad innebär 'Kylpasta' inom gaming?,'Kylpasta' betyder oftast Den kletiga lilla smörjan du måste lägga mellan processorn (CPU) och kylaren för att värmen ska kunna överföras och kylas ner effektivt.
Vad innebär 'Vattenkylning' inom gaming?,'Vattenkylning' betyder oftast AIO (All-in-one) eller custom loops som använder vätska för att kyla ner processorn. Ser sjukt snyggt ut och kyler ofta extremt bra!
Vad innebär 'Luftkylning' inom gaming?,"'Luftkylning' betyder oftast Ett stort metalltorn med fläktar som blåser bort värmen från CPU:n. Ofta billigare, säkrare (kan inte läcka vatten) och kyler i toppklass."
Vad innebär '144Hz' inom gaming?,'144Hz' betyder oftast Betyder att skärmen kan rita upp 144 bilder per sekund. Det gör rörelser mycket mjukare än standarden som är 60Hz.
Vad innebär '240Hz' inom gaming?,'240Hz' betyder oftast Gör att skärmen kan visa 240 bilder per sekund. Detta är E-sportstandard och gör det lättare att följa fiender i snabba rörelser (flickshots).
Vad innebär '4K-upplösning' inom gaming?,"'4K-upplösning' betyder oftast Det är 3840 x 2160 pixlar på skärmen! Bilden blir helt galet skarp, men det kräver ett gigantiskt grafikkort för att orka driva spelen i bra FPS."
Vad innebär '1440p' inom gaming?,'1440p' betyder oftast Detta kallas också 2K eller QHD. Den perfekta mittpunkten mellan snygg grafik och hög FPS. Den gyllene standarden för gaming just nu.
Vad innebär '1080p' inom gaming?,"'1080p' betyder oftast Detta är Full HD. Det är fortfarande den vanligaste upplösningen i världen, framförallt inom professionell e-sport där man vill ha maximal fps."
Vad innebär 'Ultrawide' inom gaming?,"'Ultrawide' betyder oftast En extremt bred skärm (ofta bildförhållandet 21:9) som ger dig fantastisk inlevelse i bil- och storyspel, men kan vara för bred för E-sport."
Vad innebär 'Stick drift' inom gaming?,"'Stick drift' betyder oftast När handkontrollens spak är sliten (eller dammig) inuti så att din karaktär eller kamera rör på sig av sig själv, trots att du inte rör spaken. Fruktansvärt irriterande!"
Vad innebär 'Game Pass' inom gaming?,'Game Pass' betyder oftast Xbox-abonnemanget som ofta kallas 'Netflix för spel'. Du betalar en månadskostnad och får ladda ner och spela hundratals stora spel fritt.
Vad innebär 'Exklusiva spel' inom gaming?,"'Exklusiva spel' betyder oftast Spel som utvecklas specifikt för *bara* en plattform. Exempelvis kan man bara spela Mario på Nintendo, och God of War ursprungligen bara på PlayStation."
Vad innebär 'Bakåtkompatibilitet' inom gaming?,'Bakåtkompatibilitet' betyder oftast När en ny konsol (som PS5) även kan spela dina gamla skivor eller digitala spel från förra generationen (som PS4).
Vad innebär 'Crossplay' inom gaming?,"'Crossplay' betyder oftast En funktion som gör att folk som spelar på PC, Xbox och PlayStation kan vara i samma lobby och spela tillsammans online."
Vad innebär 'Cross-progression' inom gaming?,"'Cross-progression' betyder oftast Om du låser upp ett häftigt skin på din Xbox, så följer det skinnet med om du loggar in på ditt konto på din PC. Sjukt bra funktion!"
Vad innebär 'IGL (In-Game Leader)' inom gaming?,"'IGL (In-Game Leader)' betyder oftast Lagkaptenen i e-sport. Det är hen som kollar ekonomin, analyserar fienden och bestämmer taktiken mitt i rundan."
Vad innebär 'Entry fragger' inom gaming?,"'Entry fragger' betyder oftast Den tuffa rollen (t.ex. i CS) som går in *först* i en eldstrid. De dör ofta först, men deras jobb är att ta plats och skaffa info till laget."
Vad innebär 'Support-roll' inom gaming?,"'Support-roll' betyder oftast Spelaren som kastar 'flashes', healar och buffar. Utan en bra support blir DPS-spelarna köttfärs direkt."
Vad innebär 'Lurker' inom gaming?,'Lurker' betyder oftast Spelaren som smyger iväg själv från resten av laget för att skjuta fienden i ryggen när de roterar. En bra lurker skapar total paranoia!
Vad innebär 'AWP' inom gaming?,"'AWP' betyder oftast Det kända snipergeväret i Counter-Strike (eller snipers i allmänhet). Dödar oftast på ett skott, är snordyrt och styrs ofta av lagets 'AWPer'."
Vad innebär 'Hitscan' inom gaming?,"'Hitscan' betyder oftast När du klickar och kulan träffar målet direkt, utan att du behöver räkna på att kulan faller eller tar tid på sig (som en laserstråle). T.ex. Vandal i Valorant."
Vad innebär 'Projektil-vapen' inom gaming?,'Projektil-vapen' betyder oftast Ett vapen i spel där skottet tar tid på sig att flyga fram (som en raket eller pilbåge). Du måste alltså sikta en bit *framför* där fienden springer.
Vad innebär 'Recoil (rekyl)' inom gaming?,'Recoil (rekyl)' betyder oftast När vapnet hoppar uppåt när du skjuter. I bra spel måste du lära dig dra musen nedåt för att kontrollera den.
Vad innebär 'Spray pattern' inom gaming?,'Spray pattern' betyder oftast Mönstret som kulorna i ett vapen sprider sig i om du bara håller in musknappen. Kan du mönstret utantill kan du 'spraya' med perfekt precision.
Vad innebär 'Crosshair placement' inom gaming?,"'Crosshair placement' betyder oftast Att alltid titta i huvudhöjd och ha siktet redo precis runt hörnet, så att du bara behöver klicka (i stället för att flytta musen) om nån dyker upp."
Vad innebär 'Peeker's advantage' inom gaming?,'Peeker's advantage' betyder oftast På grund av fördröjningar (ping) i onlinespel har den person som aktivt springer runt hörnet alltid en bråkdel av en sekunds fördel över den som står still och väntar.
Vad innebär 'Pre-fire' inom gaming?,"'Pre-fire' betyder oftast När du vet, eller gissar, att någon står bakom ett hörn, så du börjar skjuta *innan* du ens har gått runt hörnet. Grymt effektivt!"
Vad innebär 'Wallbang' inom gaming?,'Wallbang' betyder oftast Att skjuta genom en dörr eller en vägg i spelet för att döda någon du vet gömmer sig på andra sidan.
Vad innebär 'Clutch' inom gaming?,"'Clutch' betyder oftast När du är den sista överlevande i ditt lag, oddsen är emot dig, och du ändå på något magiskt sätt vinner rundan!"
Vad innebär 'Ace' inom gaming?,'Ace' betyder oftast När en enda spelare dödar hela fiendelaget (vanligtvis 5 personer) under en och samma runda.
Vad innebär 'Tilt' inom gaming?,"'Tilt' betyder oftast Att bli blind av ilska eller frustration. Du dör på ett orättvist sätt och börjar spela aggressivt och dumt, vilket gör att du dör ännu mer."
Vad innebär 'Rage quit' inom gaming?,"'Rage quit' betyder oftast Att bli så förbannad att du bokstavligen drar ur sladden, trycker Alt+F4 eller krossar din handkontroll och lämnar matchen i förtid."
Vad innebär 'Griefing' inom gaming?,"'Griefing' betyder oftast När folk aktivt försöker sabotera för sitt *eget* lag. De kastar flashbangs på dig, förstör din bas eller matar fienden med kills med flit."
Vad innebär 'Toxicity' inom gaming?,"'Toxicity' betyder oftast När spelare beter sig extremt illa, skriver förolämpningar, skriker i micken och skapar en allmänt giftig och hemsk stämning."
Vad innebär 'Backseat gaming' inom gaming?,'Backseat gaming' betyder oftast När du försöker spela men kompisen i discord (eller chatten på Twitch) hela tiden detaljstyr dig: 'Gå dit! Skjut honom! Du glömde loota!'.
Vad innebär 'Stream sniping' inom gaming?,"'Stream sniping' betyder oftast När folk startar en streamer's sändning i bakgrunden för att veta exakt var streamern är på kartan, och sedan går dit för att döda dem."
Vad innebär 'VTuber' inom gaming?,'VTuber' betyder oftast En streamer som inte visar sitt riktiga ansikte utan använder en animerad rörlig karaktär (ofta anime-stil) som styrs av personens webcam.
Vad innebär 'Speedrunning' inom gaming?,"'Speedrunning' betyder oftast En extrem form av gaming där folk tävlar i att klara spelet så absolut snabbt som möjligt, ofta genom att utnyttja programmeringsmissar (glitchar)."
Vad innebär 'Easter egg' inom gaming?,'Easter egg' betyder oftast Ett litet dolt skämt eller referens som utvecklarna smugit in i spelet (t.ex. en bild på en av programmerarna gömd i en mörk grotta).
Vad innebär 'Glitch' inom gaming?,'Glitch' betyder oftast När spelets fysik eller kod får tuppjuck och något oförutsett händer – som att din bil plötsligt flyger iväg eller att du faller genom marken.
Vad innebär 'Exploit' inom gaming?,"'Exploit' betyder oftast När en spelare medvetet utnyttjar en miss i koden (en glitch) för att fuska och vinna fördelar, t.ex. oändligt med pengar."
Vad innebär 'Pay-to-win (P2W)' inom gaming?,"'Pay-to-win (P2W)' betyder oftast Ett spel (ofta mobilspel) som är gratis att ladda ner, men där du kan betala riktiga pengar för att bli starkare än de som inte betalar. Spelare hatar detta!"
Vad innebär 'Microtransactions' inom gaming?,'Microtransactions' betyder oftast Att köpa digitala prylar i spelet för riktiga pengar (ofta kläder/skins eller V-bucks). Farligt lätt att bränna hela månadspengen där.
Vad innebär 'Battle Pass' inom gaming?,'Battle Pass' betyder oftast Ett system där du betalar en summa varje 'säsong' i ett spel och sedan måste spela flera timmar för att låsa upp belöningarna längs en tidslinje.
Vad innebär 'Loot box' inom gaming?,"'Loot box' betyder oftast En digital virtuell presentask man betalar för. Du vet inte vad som finns i (det bestäms av RNG), vilket gjort att många länder försökt förbjuda dem som hasardspel/gambling."
Vad innebär 'Skins' inom gaming?,"'Skins' betyder oftast En digital tröja, hatt eller färg på ditt vapen som bara gör att du ser cool ut, men inte påverkar skadan eller spelet alls."
Vad innebär 'Modding' inom gaming?,"'Modding' betyder oftast När communityt (fansen) skriver egen kod för att ändra spelet. Kan vara allt från att göra grafiken extremt realistisk, till att byta ut drakarna i Skyrim mot flygande tåg (Thomas the Tank Engine)."
Vad innebär 'Open world' inom gaming?,"'Open world' betyder oftast Spel som GTA, Skyrim eller Zelda, där du inte tvingas in i en bana. Du är fri att springa vart du vill och utforska i din egen takt."
Vad innebär 'Linjärt spel' inom gaming?,"'Linjärt spel' betyder oftast Ett spel med tydlig början och slut, oftast uppdelat i banor (som Crash Bandicoot eller Uncharted) där det bara finns en väg framåt."
